wd,wdLabel,Tags
Q1501,swimming pool,leisure=swimming_pool
Q1004435,athletics track,leisure=track
Q28077,Turkish bath,leisure=turkish_bath
Q740326,water park,leisure=water_park
Q47524435,wildlife hide,leisure=wildlife_hide
Q2151232,townland,locality=townland
Q16886316,indoors,location=indoor
Q16889140,outdoors,location=outdoor
Q863404,subterranea,location=underground
Q58917,adit,man_made=adit
Q17484395,beacon,man_made=beacon
Q165107,beehive,man_made=beehive
Q215635,breakwater,man_made=breakwater
Q12280,bridge,man_made=bridge
Q7321974,cairn,man_made=cairn
Q1864226,bell tower,man_made=campanile
Q170477,chimney,man_made=chimney
Q1721219,clearcutting,man_made=clearcut
Q309250,courtyard,man_made=courtyard
Q178692,crane,man_made=crane
Q392371,Christian cross,man_made=cross
Q17172602,monumental cross,man_made=cross
Q487843,cutline,man_made=cutline
Q105190,levee,man_made=dyke
Q1971570,flagpole,man_made=flagpole
Q962715,gas holder,man_made=gasometer
Q577998,Conveyor system,man_made=goods_conveyor
Q153084,groyne,man_made=groyne
Q1664398,insect hotel,man_made=insect_hotel
Q1724341,kiln,man_made=kiln
Q39715,lighthouse,man_made=lighthouse
Q25043590,plunge dip,man_made=livestock_dip
Q556186,mine shaft,man_made=mineshaft
Q1924376,monitoring station,man_made=monitoring_station
Q1993885,nesting aids,man_made=nesting_site
Q62832,observatory,man_made=observatory
Q689880,oil platform,man_made=offshore_platform
Q587682,oil well,man_made=petroleum_well
Q863454,pier,man_made=pier
Q16885408,pipeline,man_made=pipeline
Q828909,wharf,man_made=quay
Q213643,silo,man_made=silo
Q3203939,snow fence,man_made=snow_fence
Q4827510,Avalanche net,man_made=snow_fence
Q1756525,storage tank,man_made=storage_tank
Q334415,security camera,man_made=surveillance
Q131862,triangulation station,man_made=survey_point
Q352956,survey marker,man_made=survey_point
Q1161707,benchmark,man_made=survey_point
Q4213,telescope,man_made=telescope
Q234731,torii,man_made=torii
Q12518,tower,man_made=tower
Q11166728,TV tower,man_made=tower
Q15242449,wastewater treatment plant,man_made=wastewater_plant
Q4114147,standpipe,man_made=water_tap
Q274153,water tower,man_made=water_tower
Q43483,well,man_made=water_well
Q11849395,waterworks,man_made=water_works
Q185187,watermill,man_made=watermill
Q1077135,wildlife crossing,man_made=wildlife_crossing
Q38720,windmill,man_made=windmill
Q1730505,windpump,man_made=windpump
Q1579049,utility location,marker=plate
Q688292,nuraghe,megalith_type=nuraghe
Q1935728,stone circle,megalith_type=stone_circle
Q26703203,stumbling stone,memorial:type=stolperstein
Q937114,ghost bike,memorial=ghost_bike
Q721747,commemorative plaque,memorial=plaque
Q26703203,stumbling stone,memorial=stolperstein
Q11734477,memorial stone,memorial=stone
Q575759,war memorial,memorial=war_memorial
Q3640372,brewpub,microbrewery=yes
Q5487333,microbrewery,microbrewery=yes
Q695850,airbase,military=airfield
Q131263,barracks,military=barracks
Q91122,bunker,military=bunker
Q1324633,naval base,military=naval_base
Q42811873,military obstacle course,military=obstacle_course
Q1778846,proving ground,military=range
Q1778846,proving ground,military=training_area
Q91764,military trench,military=trench
Q2327632,city museum,museum_type=municipal
Q17431399,national museum,museum_type=national
Q614316,private museum,museum_type=private
Q19890860,agricultural museum,museum=agriculture
Q3329412,archaeological museum,museum=archaeological
Q4828724,aviation museum,museum=aviation
Q842478,children's museum,museum=children
Q16735822,history museum,museum=history
Q10333872,language museum,museum=language
Q1595639,local museum,museum=local
Q1863818,maritime museum,museum=maritime
Q2772772,military museum,museum=military
Q756102,open-air museum,museum=open_air
Q10624527,biographical museum,museum=person
Q18704634,railway museum,museum=railway
Q588140,science museum,museum=science
Q2398990,technology museum,museum=technology
Q2516357,transport museum,museum=transport
Q1334383,arête,natural=arete
Q39594,bay,natural=bay
Q40080,beach,natural=beach
Q885499,blowhole,natural=blowhole
Q185113,cape,natural=cape
Q35509,cave,natural=cave_entrance
Q67166646,cave entrance,natural=cave_entrance
Q107679,cliff,natural=cliff
Q1701967,coastal line,natural=coastline
Q5421955,fell,natural=fell
Q35666,glacier,natural=glacier
Q1006733,grassland,natural=grassland
Q27590,heath,natural=heath
Q93267,isthmus,natural=isthmus
Q1092661,moorland,natural=moor
Q8502,mountain,natural=peak
Q54050,hill,natural=peak
Q207326,summit,natural=peak
Q34763,peninsula,natural=peninsula
Q184358,reef,natural=reef
Q740445,ridge,natural=ridge
Q8063,rock,natural=rock
Q10862618,saddle,natural=saddle
Q1133195,scree,natural=scree
Q879641,shrubland,natural=scrub
Q188734,sinkhole,natural=sinkhole
Q124714,spring,natural=spring
Q37901,strait,natural=strait
Q965847,termite mound,natural=termite_mound
Q10884,tree,natural=tree
Q491700,roadside tree,natural=tree_row
Q39816,valley,natural=valley
Q8072,volcano,natural=volcano
Q15324,body of water,natural=water
Q170321,wetland,natural=wetland
Q4421,forest,natural=wood
Q811600,sacred grove,natural=wood
Q48204,voluntary association,office=association
Q15906149,Digital Society,office=association
Q1428011,bail bondsman,office=bail_bond_agent
Q869457,coworking,office=coworking
Q213283,diplomatic mission,office=diplomatic
Q261362,employment agency,office=employment_agency
Q81096,engineer,office=engineer
Q519076,real estate broker,office=estate_agent
Q327333,government agency,office=government
Q27038992,insurance agency,office=insurance
Q40348,lawyer,office=lawyer
Q694748,physiotherapist,office=therapist
Q217107,travel agency,office=travel_agent
Q13218805,multistorey car park,parking=multi-storey
Q33837,archipelago,place=archipelago
Q5195043,borough,place=borough
Q515,city,place=city
Q1348006,city block,place=city_block
Q5107,continent,place=continent
Q6256,country,place=country
Q28575,county,place=county
Q149621,district,place=district
Q131596,farm,place=farm
Q5084,hamlet,place=hamlet
Q23442,island,place=island
Q207524,islet,place=islet
Q3257686,locality,place=locality
Q15284,municipality,place=municipality
Q123705,neighborhood,place=neighbourhood
Q683595,land lot,place=plot
Q2983893,quarter,place=quarter
Q174782,square,place=square
Q107390,federated state,place=state
Q188509,suburb,place=suburb
Q3957,town,place=town
Q19610511,township,place=township
Q532,village,place=village
Q2311958,canton,political_division=canton
Q17166756,United States congressional district,political_division=congressional_district
Q89934,community of Belgium,political_division=linguistic_community
Q589282,ward or electoral division of the United Kingdom,political_division=ward
Q1195098,ward,political_division=ward
Q42804670,underground or at-grade power line,power=cable
Q7236480,Power box,power=cable_distribution_cabinet
Q2010240,catenary mast,power=catenary_mast
Q5636221,HVDC converter,power=converter
Q131502,electric generator,power=generator
Q1347279,heliostat,power=heliostat
Q2144320,overhead power line,power=line
Q159719,power station,power=plant
Q1144084,utility pole,power=pole
Q478986,distribution substation,power=substation
Q5320,switch,power=switch
Q914711,Transmission tower,power=tower
Q11658,transformer,power=transformer
Q64896574,platform,public_transport=platform
Q12819564,station,public_transport=station
Q548662,transportation stop,public_transport=stop_position
Q1928330,crossover,railway=crossover
Q10283556,motive power depot,railway=depot
Q996850,derail,railway=derail
Q4663385,former railway station,railway=disused_station
Q142031,funicular,railway=funicular
Q55678,railway halt,railway=halt
Q2141822,hump,railway=hump_yard
Q171448,level crossing,railway=level_crossing
Q1268865,light rail,railway=light_rail
Q2355237,railway kilometre sign,railway=milestone
Q20820102,rideable miniature railway,railway=miniature
Q187934,monorail,railway=monorail
Q1112477,narrow-gauge railway,railway=narrow_gauge
Q1693573,Q1693573,railway=phone
Q325358,railway platform,railway=platform
Q420962,heritage railway,railway=preserved
Q28109475,proposed railway line,railway=proposed
Q728937,railway line,railway=rail
Q46995345,flat crossing,railway=railway_crossing
Q1365704,railway roundhouse,railway=roundhouse
Q831844,staff halt,railway=service_station
Q862562,railway signal,railway=signal
Q910597,signalling control,railway=signal_box
Q39015397,signal box,railway=signal_box
Q12104949,Q12104949,railway=spur
Q55488,railway station,railway=station
Q5503,rapid transit,railway=subway
Q82818,railroad switch,railway=switch
Q15640053,tram system,railway=tram
Q2175765,tram stop,railway=tram_stop
Q1082925,railway traverser,railway=traverser
Q730493,railway turntable,railway=turntable
Q1530516,railway vacancy detection,railway=vacancy_detection
Q55493,goods station,railway=yard
Q27106436,recycling center,recycling_type=centre
Q4743886,recycling bin,recycling_type=container
Q43004,animism,religion=animist
Q22679,Bahá'í Faith,religion=bahai
Q748,Buddhism,religion=buddhist
Q470364,Caodaism,religion=caodaism
Q5043,Christianity,religion=christian
Q9581,Confucianism,religion=confucian
Q11456201,Fujikō,religion=fujiko
Q9089,Hinduism,religion=hindy
Q9232,Jainism,religion=jain
Q9268,Judaism,religion=jewish
Q432,Islam,religion=muslim
Q189753,modern paganism,religion=pagan
Q14397660,Pastafarianism,religion=pastafarian
Q131036,Scientology,religion=scientologist
Q812767,Shinto,religion=shinto
Q9316,Sikhism,religion=sikh
Q829348,spiritualism,religion=spiritualist
Q9598,Taoism,religion=taoist
Q1622507,Unitarian Universalism,religion=unitarian_universalist
Q302729,Haitian Vodou,religion=voodoo
Q200885,Yazidis,religion=yazidi
Q9601,Zoroastrianism,religion=zoroastrian
Q3238502,construction aggregate,resource=aggregate
Q102078,bauxite,resource=bauxite
Q42302,clay,resource=clay
Q24489,coal,resource=coal
Q753,copper,resource=copper
Q40858,natural gas,resource=gas
Q897,gold,resource=gold
Q133833,gravel,resource=gravel
Q191552,iron ore,resource=iron_ore
Q23757,limestone,resource=limestone
Q22656,petroleum,resource=oil
Q184624,peat,resource=peat
Q34679,sand,resource=sand
Q283,water,resource=water
Q674251,waiting room,room=waiting
Q359309,detour,route=detour
Q2143825,hiking trail,route=hiking
Q22667,railway,route=railway
Q34442,road,route=road
Q15079663,rapid transit railway line,route=subway
Q3238851,main line,route=train
Q2632011,liquor store,shop=alcohol
Q11284331,anime shop,shop=anime
Q3267025,antique shop,shop=antiques
Q43156919,appliance store,shop=appliance
Q1007870,commercial art gallery,shop=art
Q47516482,quad shop,shop=atv
Q47507911,baby goods shop,shop=baby_goods
Q47507924,bag shop,shop=bag
Q274393,bakery,shop=bakery
Q47508983,bathroom furnishing store,shop=bathroom_furnishing
Q1195245,beauty salon,shop=beauty
Q47516331,bed shop,shop=bed
Q47504516,beverage shop,shop=beverages
Q26721034,bike shop,shop=bicycle
Q47516516,boat shop,shop=boat
Q664702,bookmaker,shop=bookmaker
Q200764,bookstore,shop=books
Q1068824,boutique,shop=boutique
Q47504642,brewing supply,shop=brewing_supplies
Q13164546,butcher shop,shop=butcher
Q47517150,camera shop,shop=camera
Q47516343,candle shop,shop=candles
Q774861,cannabis coffee shop,shop=cannabis
Q786803,car dealership,shop=car
Q47516524,car parts shop,shop=car_parts
Q1310967,automobile repair shop,shop=car_repair
Q47516346,carpet shop,shop=carpet
Q2235104,ship chandler,shop=chandler
Q153551,charity shop,shop=charity
Q3088348,cheesery,shop=cheese
Q1260046,drugstore,shop=chemist
Q47504660,chocolate shop,shop=chocolate
Q2090555,clothing store,shop=clothes
Q47517090,collector's items store,shop=collector
Q43182520,computer shop,shop=computer
Q3574069,confectionery store,shop=confectionery
Q7361709,convenience store,shop=convenience
Q23745600,Alfamart,shop=convenience
Q1131628,copy shop,shop=copyshop
Q47508166,cosmetic shop,shop=cosmetics
Q47517111,art and crafts shop,shop=craft
Q47516347,curtain shop,shop=curtain
Q17009758,dairy store,shop=dairy
Q3231410,delicatessen,shop=deli
Q216107,department store,shop=department_store
Q811530,hardware store,shop=doityourself
Q47516351,door shop,shop=doors
Q42817497,dry cleaner,shop=dry_cleaning
Q21017121,vape shop,shop=e-cigarette
Q47515948,electrical supply store,shop=electrical
Q43156817,electronics store,shop=electronics
Q47515998,energy provider,shop=energy
Q221618,sex shop,shop=erotic
Q519076,real estate broker,shop=estate_agent
Q47508051,fabric shop,shop=fabric
Q1371823,farm shop,shop=farm
Q47508054,fashion shop,shop=fashion
Q47516018,fireplace shop,shop=fireplace
Q47516535,fishing equipment store,shop=fishing
Q550594,fishmonger,shop=fishmonger
Q47516353,flooring shop,shop=flooring
Q10431511,flower shop,shop=florist
Q47517115,frame shop,shop=frame
Q47516538,free flying equipment store,shop=free_flying
Q47504702,frozen food shop,shop=frozen_food
Q47516533,fuel shop,shop=fuel
Q1466031,funeral home,shop=funeral_directors
Q316490,funeral director,shop=funerals_directors
Q47516358,furniture shop,shop=furniture
Q47517120,board games shop,shop=games
Q260569,garden centre,shop=garden_centre
Q47516049,garden furniture shop,shop=garden_furniture
Q47516067,bottled gas shop,shop=gas
Q1244860,general store,shop=general
Q865693,gift shop,shop=gift
Q1529413,glaziery,shop=glaziery
Q2017004,pro shop,shop=golf
Q145658,greengrocer,shop=greengrocer
Q1295201,grocery store,shop=grocery
Q350039,mercery,shop=haberdashery
Q55187,hairdresser,shop=hairdresser
Q47508170,hairdresser supply shop,shop=hairdresser_supply
Q811530,hardware store,shop=hardware
Q864440,health food store,shop=health_food
Q1644347,audiologist,shop=hearing_aids
Q3133901,herbalist,shop=herbalist
Q47516431,hifi store,shop=hifi
Q5874968,hobby shop,shop=hobby
Q47516128,houseware shop,shop=houseware
Q47516539,hunting shop,shop=hunting
Q1311064,ice cream parlor,shop=ice_cream
Q47516362,interior decorations shop,shop=interior_decoration
Q47516541,jetski store,shop=jetski
Q20708021,jewellery shop,shop=jewelry
Q693369,kiosk,shop=kiosk
Q47516368,kitchen shop,shop=kitchen
Q47516372,lamp store,shop=lamps
Q1143034,self-service laundry,shop=laundry
Q12893467,industrial laundry,shop=laundry
Q47508066,leather shop,shop=leather
Q47516372,lamp store,shop=lighting
Q3479990,locksmith,shop=locksmith
Q47519608,lottery store,shop=lottery
Q11315,shopping mall,shop=mall
Q901922,massage shop,shop=massage
Q2221810,medical equipment shop,shop=medical_supply
Q3505412,military surplus,shop=military_surplus
Q47516435,mobile phone shop,shop=mobile_phone
Q2893189,moneylender,shop=money_lender
Q47516542,motorcycle shop,shop=motorcycle
Q2243978,record shop,shop=music
Q24284215,musical instrument store,shop=musical_instrument
Q1528905,newsagent,shop=newsagent
Q47508200,nutrition supplements store,shop=nutrition_supplements
Q1996635,optician,shop=optician
Q80144507,optician shop,shop=optician
Q47516546,outdoor equipment store,shop=outdoor
Q47516196,paint store,shop=paint
Q47519648,party shop,shop=party
Q47505049,pasta store,shop=pasta
Q47505416,Konditorei,shop=pastry
Q176637,pawnbroker,shop=pawnbroker
Q1509937,perfumery,shop=perfumery
Q220142,pet store,shop=pet
Q47517141,photo shop,shop=photo
Q11642,pottery,shop=pottery
Q47519677,firework supply store,shop=pyrotechnics
Q47516439,radiotechnic store,shop=radiotechnics
Q47519786,religous merchandising store,shop=religion
Q47516423,robot shop,shop=robot
Q47516552,scuba diving equipment store,shop=scuba_diving
Q47507842,fish and seafood store,shop=seafood
Q2925872,second-hand shop,shop=second_hand
Q47516232,security shop,shop=security
Q47508075,sewing shop,shop=sewing
Q2235104,ship chandler,shop=ship_chandler
Q7500021,shoe store,shop=shoes
Q11315,shopping mall,shop=shopping_centre
Q47516563,ski store,shop=ski
Q47516564,snowmobile store,shop=snowmobile
Q47507844,spice store,shop=spices
Q47516567,sport shop,shop=sports
Q24309558,stationer,shop=stationery
Q401404,self storage,shop=storage_rental
Q180846,supermarket,shop=supermarket
Q47517083,swimming pool equipment shop,shop=swimming_pool
Q47508085,tailor shop,shop=tailor
Q27038997,tattoo parlor,shop=tattoo
Q47507849,tea shop,shop=tea
Q47519615,ticket shop,shop=ticket
Q47516376,tile store,shop=tiles
Q16406,smoke shop,shop=tobacco
Q1318959,toy store,shop=toys
Q811891,building materials trade,shop=trade
Q217107,travel agency,shop=travel_agency
Q47517159,trophy store,shop=trophy
Q47516839,tire shop,shop=tyres
Q47519700,vacant shop,shop=vacant
Q47516441,vacuum cleaner store,shop=vacuum_cleaner
Q2301114,variety store,shop=variety_store
Q1756711,video rental shop,shop=video
Q7927919,video game store,shop=video_games
Q47508094,watch shop,shop=watches
Q25112996,gun shop,shop=weapons
Q320677,cash and carry,shop=wholesale
Q47516378,window blind shop,shop=window_blind
Q21117149,wine shop,shop=wine
Q213441,shop,shop=yes
Q57334497,retail store,shop=yes
Q1342743,Ulmus procera,species=Ulmus_procera
Q172809,ten-pin bowling,sport=10pin
Q3414499,Q3414499,sport=8pin
Q706199,nine-pin bowling,sport=9pin
Q43114,aikido,sport=aikido
Q41323,American football,sport=american_football
Q108429,archery,sport=archery
Q542,athletics,sport=athletics
Q50776,Australian rules football,sport=australian_football
Q7291,badminton,sport=badminton
Q183018,bandy,sport=bandy
Q809831,BASE jumping,sport=base
Q5369,baseball,sport=baseball
Q4543,beach volleyball,sport=beachvolleyball
Q3341285,cue sports,sport=billiards
Q215184,bicycle motocross,sport=bmx
Q177275,bobsleigh,sport=bobsleigh
Q895060,boules,sport=boules
Q895471,bowls,sport=bowls
Q32112,boxing,sport=boxing
Q248534,Canadian football,sport=canadian_football
Q718,chess,sport=chess
Q5132811,Cliff jumping,sport=cliff_diving
Q14405929,high diving,sport=cliff_diving
Q57833445,Q57833445,sport=cliff_diving
Q22857,climbing,sport=climbing
Q852989,bouldering,sport=climbing
Q1541373,sport climbing,sport=climbing
Q1939700,rope course,sport=climbing_adventure
Q319771,cockfight,sport=cockfighting
Q5375,cricket,sport=cricket
Q682943,cricket field,sport=cricket
Q193387,croquet,sport=croquet
Q2072840,CrossFit,sport=crossfit
Q136851,curling,sport=curling
Q2215841,cycle sport,sport=cycling
Q131471,darts,sport=darts
Q876737,disc golf,sport=disc_golf
Q778020,dog track,sport=dog_racing
Q1345388,greyhound racing,sport=dog_racing
Q57833661,dog racing,sport=dog_racing
Q902378,equestrian sport,sport=equestrian
Q1455,field hockey,sport=field_hockey
Q1453560,freeflying,sport=free_flying
Q171401,futsal,sport=futsal
Q2447366,gaelic games,sport=gaelic_games
Q5377,golf,sport=golf
Q43450,gymnastics,sport=gymnastics
Q8418,handball,sport=handball
Q200333,Hapkido,sport=hapkido
Q187916,horse racing,sport=horse_racing
Q2746282,horseshoes,sport=horseshoes
Q41466,ice hockey,sport=ice_hockey
Q779272,ice skating,sport=ice_skating
Q1070325,ice stock sport,sport=ice_stock
Q11420,judo,sport=judo
Q192420,kart racing,sport=karting
Q1232319,kart circuit,sport=karting
Q219554,kite surfing,sport=kitesurfing
Q192937,korfball,sport=korfball
Q2280583,krachtbal,sport=krachtbal
Q185851,lacrosse,sport=lacrosse
Q998303,Laser tag,sport=laser_tag
Q170737,long jump,sport=long_jump
Q11417,martial arts,sport=martial_arts
Q2475583,radio-controlled aircraft,sport=model_aerodrome
Q215862,motocross,sport=motocross
Q5367,motorsport,sport=motor
Q933851,obstacle course,sport=obstacle_course
Q29358,orienteering,sport=orienteering
Q1582389,padel,sport=paddle
Q3805008,paddle tennis,sport=paddle_tennis
Q193210,skydiving,sport=parachuting
Q62603260,parachute club,sport=parachuting
Q178380,paragliding,sport=paragliding
Q212845,Basque pelota,sport=pelota
Q11928176,pelota,sport=pelota
Q754586,racquetball,sport=racquet
Q1419833,radio-controlled car,sport=rc_car
Q1707432,roller skating,sport=roller_skating
Q159354,rowing,sport=rowing
Q10962,rugby league,sport=rugby_league
Q5849,rugby union,sport=rugby_union
Q14085739,sailing,sport=sailing
Q1719546,recreational diving,sport=scuba_diving
Q206989,shooting sport,sport=shooting
Q842284,skateboarding,sport=skateboard
Q909906,skatepark,sport=skateboard
Q130949,skiing,sport=skiing
Q2736,association football,sport=soccer
Q8524,football pitch,sport=soccer
Q891698,Q891698,sport=soccer
Q40561,sumo,sport=sumo
Q159992,surfing,sport=surfing
Q31920,swimming,sport=swimming
Q14922,table football,sport=table_soccer
Q3930,table tennis,sport=table_tennis
Q36389,taekwondo,sport=taekwondo
Q847,tennis,sport=tennis
Q273285,luge,sport=toboggan
Q465014,trampolining,sport=trampoline
Q1734,volleyball,sport=volleyball
Q7707,water polo,sport=water_polo
Q472827,waterskiing,sport=water_ski
Q83462,weightlifting,sport=weightlifting
Q42486,wrestling,sport=wrestling
Q928830,metro station,station=subway
Q1719654,serving area interface,street_cabinet=telecom
Q746369,recording studio,studio=audio
Q511355,television studio,studio=television
Q803616,rail transport electrical substation,substation=traction
Q189259,asphalt concrete,surface=asphalt
Q2534206,concrete surface,surface=concrete
Q3328263,pavement,surface=paved
Q757022,sett,surface=sett
Q3179760,tarmac,surface=tarmac
P4238,webcam page URL,surveillance=webcam
Q90717531,war grave,tomb=war_grave
Q182676,mountain hut,tourism=alpine_hut
Q336532,vacation rental,tourism=apartment
Q47520713,vacation apartment,tourism=apartment
Q2281788,public aquarium,tourism=aquarium
Q838948,work of art,tourism=artwork
Q570116,tourist attraction,tourism=attraction
Q832778,campsite,tourism=camp_site
Q1424620,motorhome stopover,tourism=caravan_site
Q1371789,holiday home,tourism=chalet
Q207694,art museum,tourism=gallery
Q2460422,guest house,tourism=guest_house
Q654772,hostel,tourism=hostel
Q27686,hotel,tourism=hotel
Q1587716,tourism office,tourism=information
Q216212,motel,tourism=motel
Q33506,museum,tourism=museum
Q47520603,picnic site,tourism=picnic_site
Q194195,amusement park,tourism=theme_park
Q6017969,scenic viewpoint,tourism=viewpoint
Q39425,bothy,tourism=wilderness_hut
Q22995,wine cellar,tourism=wine_cellar
Q49389,tourism,tourism=yes
Q43501,zoo,tourism=zoo
Q74231,chicane,traffic_calming=chicane
Q110701,overhead line,trolley_wire=yes
Q4022,river,type=waterway
Q911379,spillway,usage=spillway
Q61960059,vegetarian restaurant,vegetarian=only
Q997921,book vending machine,vending=books
Q1572205,Reverse vending machine,vending=bottle_return
Q199329,cigarette machine,vending=cigarettes
Q1047284,condom machine,vending=condoms
Q16831578,drink vending machine,vending=drinks
Q2595247,bait machine,vending=fishing_bait
Q1524788,milk vending machine,vending=milk
Q187022,newspaper vending machine,vending=newspapers
Q2046594,Parcel boxes,vending=parcel_mail_in
Q2046594,Parcel boxes,vending=parcel_mail_in;parcel_pickup
Q2046594,Parcel boxes,vending=parcel_pickup
Q2046594,Parcel boxes,vending=parcel_pickup;parcel_mail_in
Q574511,Pay and display,vending=parking_tickets
Q657345,ticket machine,vending=public_transport_tickets
Q381222,stamp vending machine,vending=stamps
Q2295670,snack machine,vending=sweets
Q601510,noise barrier,wall=noise_barrier
Q23397,lake,water=lake
Q3253281,pond,water=pond
Q131681,reservoir,water=reservoir
Q190928,shipyard,waterway=boatyard
Q12284,canal,waterway=canal
Q12323,dam,waterway=dam
Q2048319,ditch,waterway=ditch
Q124282,dock,waterway=dock
Q606619,fish ladder,waterway=fish_pass
Q42792757,lock gate,waterway=lock_gate
Q3434106,river mile,waterway=milestone
Q4022,river,waterway=river
Q63565252,brook,waterway=stream
Q187971,wadi,waterway=wadi
Q34038,waterfall,waterway=waterfall
Q1066997,weir,waterway=weir
Q30198,marsh,wetland=marsh
Q166735,swamp,wetland=swamp
Q31796,mudflat,wetland=tidalflat
Q24192069,wheelchair inaccessible,wheelchair=no
Q24192067,wheelchair accessible,wheelchair=yes
Q642682,safari park,zoo=safari_park
Q1711697,wildlife park,zoo=wildlife_park
