wd,wdLabel,Tags
Q8719053,music venue,amenity=music_venue
Q622425,nightclub,amenity=nightclub
Q837142,nursing home,amenity=nursing_home
Q6501349,parking lot,amenity=parking
Q47520013,parking entrance,amenity=parking_entrance
Q1433633,parking space,amenity=parking_space
Q7138926,parliament building,amenity=parliament
Q13107184,pharmacy,amenity=pharmacy
Q494312,photo booth,amenity=photo_booth
Q1370598,place of worship,amenity=place_of_worship
Q148319,planetarium,amenity=planetarium
Q861951,police station,amenity=police
Q49844,post box,amenity=post_box
Q35054,post office,amenity=post_office
Q82,printer,amenity=printer
Q40357,prison,amenity=prison
Q212198,pub,amenity=pub
Q785952,public bath,amenity=public_bath
Q294297,public bookcase,amenity=public_bookcase
Q294422,public building,amenity=public_building
Q36728566,ranger station,amenity=ranger_station
Q47520309,recycling facility,amenity=recycling
Q47520327,rescue station,amenity=rescue_station
Q11707,restaurant,amenity=restaurant
Q47520332,sanitary dump station,amenity=sanitary_dump_station
Q57036,sauna,amenity=sauna
Q3914,school,amenity=school
Q1976594,science park,amenity=science_park
Q2207370,seat,amenity=seat
Q7493941,shelter,amenity=shelter
Q7863,shower,amenity=shower
Q8536775,social center,amenity=social_centre
Q47520019,social facility,amenity=social_facility
Q915063,sorting office,amenity=sorting_office
Q214252,stable,amenity=stables
Q15026,chair,amenity=stool
Q6586445,strip club,amenity=stripclub
Q3661265,hall of residence,amenity=student_accommodation
Q19364326,media studio facility,amenity=studio
Q1501,swimming pool,amenity=swimming_pool
Q336078,sex club,amenity=swingerclub
Q14748,table,amenity=table
Q1395196,taxicab stand,amenity=taxi
Q11035,telephone,amenity=telephone
Q900977,payphone,amenity=telephone
Q11635,theater,amenity=theatre
Q24354,theatre,amenity=theatre
Q1345575,ticket validator,amenity=ticket_validator
Q813966,public toilet,amenity=toilets
Q543654,city hall,amenity=townhall
Q1143018,toy library,amenity=toy_library
Q3918,university,amenity=university
Q978659,vehicle inspection,amenity=vehicle_inspection
Q211584,vending machine,amenity=vending_machine
Q202883,veterinarian,amenity=veterinary
Q47520407,waste transfer station,amenity=waste_transfer_station
Q47520398,water point,amenity=water_point
Q932689,abreuvoir,amenity=watering_place
Q11412052,truck scale,amenity=weighbridge
Q7171565,pet adoption,animal_shelter:adoption=yes
Q69676094,animal release,animal_shelter:release=yes
Q1533036,animal sanctuary,animal_shelter:sanctuary=yes
Q4378237,Trivision,animated=trivision_blades
Q12271,architecture,artwork_type=architecture
Q3179385,azulejo,artwork_type=azulejo
Q241045,portrait at bust length,artwork_type=bust
Q17514,graffiti,artwork_type=graffiti
Q20437094,installation,artwork_type=installation
Q219423,mural,artwork_type=mural
Q860861,sculpture,artwork_type=sculpture
Q179700,statue,artwork_type=statue
Q468402,tile,artwork_type=tilework
Q928357,bronze sculpture,artwork:material=bronze
Q204832,roller coaster,attraction=roller_coaster
Q3266345,alpine slide,attraction=summer_toboggan
Q1148389,bollard,barrier=bollard
Q218719,border control,barrier=border_control
Q4997309,bump gate,barrier=bump_gate
Q251013,bus trap,barrier=bus_trap
Q2520860,cable barrier,barrier=cable_barrier
Q2164694,cattle grid,barrier=cattle_grid
Q16748868,city walls,barrier=city_wall
Q1661732,Pedestrian chicane,barrier=cycle_barrier
Q148571,fence,barrier=fence
Q53060,gate,barrier=gate
Q1344551,traffic barrier,barrier=guard_rail
Q867269,ha-ha,barrier=haha
Q235779,hedge,barrier=hedge
Q91975076,height barrier,barrier=height_restrictor
Q2300314,Jersey barrier,barrier=jersey_barrier
Q37442,curb,barrier=kerb
Q1521153,kissing gate,barrier=kissing_gate
Q852010,boom barrier,barrier=lift_gate
Q1076291,retaining wall,barrier=retaining_wall
Q15930902,sally port,barrier=sally_port
Q1698460,Spike strip,barrier=spikes
Q166557,stile,barrier=stile
Q7638033,Sump buster,barrier=sump_buster
Q1364150,toll booth,barrier=toll_booth
Q1146283,turnstile,barrier=turnstile
Q42948,wall,barrier=wall
Q171038,softball,baseball=softball
Q3500933,detention basin,basin=detention
Q2137499,Infiltration basin,basin=infiltration
Q1413117,retention basin,basin=retention
Q1151556,bicycle parking station,bicycle_parking=building
Q1392526,bicycle stand,bicycle_parking=stands
Q28575,county,border_type=county
Q56061,administrative territorial entity,boundary=administrative
Q498162,census-designated place,boundary=census
Q15042037,statistical territorial entity,boundary=census
Q180673,ceremonial county of England,boundary=ceremonial
Q4976993,civil parish,boundary=civil_parish
Q3089219,maritime boundary,boundary=maritime
Q921099,boundary marker,boundary=marker
Q46169,national park,boundary=national_park
Q192611,constituency,boundary=political
Q473972,protected area,boundary=protected_area
Q7925010,vice-county,boundary=vice_county
Q474,aqueduct,bridge=aqueduct
Q1429218,cantilever bridge,bridge=cantilever
Q1825472,covered bridge,bridge=covered
Q787417,moveable bridge,bridge=movable
Q653401,trestle bridge,bridge=trestle
Q181348,viaduct,bridge=viaduct
Q2502622,bicycle bridge,bridge=yes
Q47525299,allotment house,building=allotment_house
Q13402009,apartment building,building=apartments
Q798436,bakehouse,building=bakehouse
Q1303167,barn,building=barn
Q200334,bell tower,building=bell_tower
Q1777951,boathouse,building=boathouse
Q57778855,brewery building,building=brewery
Q850107,bungalow,building=bungalow
Q91122,bunker,building=bunker
Q695207,joined-log structure,building=cabin
Q1044817,carport,building=carport
Q2977,cathedral,building=cathedral
Q108325,chapel,building=chapel
Q16970,church building,building=church
Q52177058,civic building,building=civic
Q189004,college,building=college
Q655686,commercial building,building=commercial
Q161851,condominium,building=condominium
Q1791429,conservatory,building=conservatory
Q12377751,under construction,building=construction
Q1128503,container building,building=container
Q681337,cowshed,building=cowshed
Q671224,data center,building=data_center
Q1307276,single-family detached home,building=detached
Q65464996,biogas plant,building=digester
Q847950,dormitory,building=dormitory
Q1137365,entrance,building=entrance
Q489357,farmhouse,building=farm
Q10480682,agricultural structure,building=farm_auxiliary
Q210077,baptistery,building=font
Q22733,garage,building=garage
Q22733,garage,building=garages
Q47525060,garbage shed,building=garbage_shed
Q1796966,grandstand,building=grandstand
Q165044,greenhouse,building=greenhouse
Q1349167,ground station,building=ground_station
Q192375,hangar,building=hangar
Q39364723,hospital building,building=hospital
Q63099748,hotel building,building=hotel
Q3947,house,building=house
Q1321309,houseboat,building=houseboat
Q5784097,hut,building=hut
Q12144897,industrial building,building=industrial
Q126807,kindergarten,building=kindergarten
Q693369,kiosk,building=kiosk
Q856584,library building,building=library
Q380342,manufactory,building=manufacture
Q1409050,pole marquee,building=marquee
Q32815,mosque,building=mosque
Q1021645,office building,building=office
Q199451,pagoda,building=pagoda
Q16560,palace,building=palace
Q13218805,multistorey car park,building=parking
Q7138926,parliament building,building=parliament
Q47525089,sports pavilion,building=pavilion
Q294422,public building,building=public
Q11755880,residential building,building=residential
Q18760388,retail building,building=retail
Q3503155,riding hall,building=riding_hall
Q47525110,roof,building=roof
Q109607,ruins,building=ruins
Q1244442,school building,building=school
Q7419624,semi-detached house,building=semi
Q7419624,semi-detached house,building=semidetached_house
Q30310841,service building,building=service
Q721931,shed,building=shed
Q697295,shrine,building=shrine
Q1560125,slurry pit,building=slurry_tank
Q214252,stable,building=stable
Q483110,stadium,building=stadium
Q1434998,mobile home,building=static_caravan
Q33565,stilt house,building=stilt_house
Q1651566,pigsty,building=sty
Q76211894,supermarket building,building=supermarket
Q34627,synagogue,building=synagogue
Q44539,temple,building=temple
Q842402,Hindu temple,building=temple
Q875016,terrace house,building=terrace
Q18814858,terrace of houses,building=terrace
Q12518,tower,building=tower
Q1339195,station building,building=train_station
Q2461128,transformer tower,building=transformer_tower
Q47524577,public transportation building,building=transportation
Q19844914,university building,building=university
Q1362225,warehouse,building=warehouse
Q274153,water tower,building=water_tower
Q41176,building,building=yes
Q91939,hardened aircraft shelter,bunker_type=hardened_aircraft_shelter
Q2311847,single person bunker,bunker_type=personnel_shelter
Q92069,pillbox,bunker_type=pillbox
Q5119,capital,capital=yes
Q263274,kremlin,castle_type=kremlin
Q92026,Japanese castle,castle_type=shiro
Q4919932,stately home,castle_type=stately
Q180174,folly,castle=folly
Q173387,grave,cemetery=grave
Q1707610,war cemetery,cemetery=war_cemetery
Q852989,bouldering,climbing:boulder=yes
Q17152912,infant clothing,clothes=babies
